company_name,perm_id,ticker_code,industry,
TPI Composites Inc,4297996302,TPIC,Wind Technology & Project Developers,
Jiangsu United Water Technology Co Ltd,5081086236,603291,Water Utilities & Services,
Akcept Finance SA,4297880466,AFC,Consumer Finance,
Tech Pro Technology Development Ltd,4295871996,3823,Electrical & Electronic Equipment,
Advanced Oncotherapy PLC,4295894266,AVO,Medical Equipment & Supplies,
AeroGrow International Inc,4295911086,AERO,Appliance Manufacturing,
Shenzhen Best of Best Holdings Co Ltd,5081057326,001298,Multiline and Specialty Retailers & Distributors,
Sarcos Technology and Robotics Corp,5079233926,STRC,Industrial Machinery & Goods,
Evropa AD Skopje,5001105106,EVRO,Processed Foods,
AtriCure Inc,4295899543,ATRC,Medical Equipment & Supplies,
7digital Group plc,4295895556,7DIG,Media & Entertainment,
San Neng Group Holdings Co Ltd,5066618296,6671,Household & Personal Products,
Tat Seng Packaging Group Ltd,4295887626,TSP,Containers & Packaging,
Chainqui Construction Development Co Ltd,4295891386,2509,Real Estate,
Jiangsu Jiangyin Rural Commercial Bank Co Ltd,4298153006,002807,Commercial Banks,
Wison Engineering Services Co Ltd,5037988016,2236,Engineering & Construction Services,
Abbott India Ltd,4295873246,BOOT,Biotechnology & Pharmaceuticals,
Nurosene Health Inc,5079914696,MEND,Software & IT Services,
Ephraim Resources Ltd,4295857876,EPA,Biotechnology & Pharmaceuticals,
Tangrenshen Group Co Ltd,4298497736,002567,Agricultural Products,
Altus Midstream Co,5054815406,ALTM,Oil & Gas - Midstream,
Asahi Printing Co Ltd,4295879546,3951,Containers & Packaging,
Botswana Insurance Holdings Ltd,4295859676,BIHL,Asset Management & Custody Activities,
China International Holdings Ltd,4295887876,CHIH,Engineering & Construction Services,
Thien Quang Group JSC,5037637196,ITQ,Iron & Steel Producers,
Imagion Biosystems Ltd,5056388236,IBX,Advertising & Marketing,
DSA Financial Corp,4295902626,DSFN,Commercial Banks,
Meridian Holdings Inc,4295902446,MRDH,Asset Management & Custody Activities,
Yellowstone Acquisition Co,5076946076,YSACU,Asset Management & Custody Activities,
Core Concept Technologies Inc,5062433356,4371,Software & IT Services,
Sun Vending Technology PCL,5080170886,SVT,Multiline and Specialty Retailers & Distributors,
Pilatus Marine PCL,5062392556,PLT,Oil & Gas - Midstream,
Taxus Pharmaceuticals Holdings Inc,5044099126,TXSP,Multiline and Specialty Retailers & Distributors,
Rise Life Science Corp,4296389926,RLSC,Health Care Delivery,
Integrated Personnel Services Ltd,5082022586,IPSL,Professional & Commercial Services,
Quality Hospitality Leasehold Property Fund,4297902126,QLT,Real Estate,
Metalla Royalty & Streaming Ltd,5060666386,MTA,Metals & Mining,
Heng Xin China Holdings Ltd,4295871906,8046,Semiconductors,
Navetco National Veterinary JSC,5058981636,VET,Biotechnology & Pharmaceuticals,
AmBase Corp,4295908846,ABCP,Real Estate,
GigaCloud Technology Inc,5083351946,GCT,E-Commerce,
Clough Global Equity Fund,4296231496,GLQ,Oil & Gas - Exploration & Production,
Olatech Solutions Ltd,5082704186,OLATECH,Software & IT Services,
Crnogorski Telekom ad Podgorica,4297571516,TECG,Telecommunication Services,
Fuego Enterprises Inc,4295902696,FUGI,Telecommunication Services,
Powerspeed Electrical Ltd,4296387216,PWS,Electrical & Electronic Equipment,
Alpha Investment Inc,5043951516,ALPC,Asset Management & Custody Activities,
Strategem Capital Corp,4296034906,SGE,Asset Management & Custody Activities,
Ras Technology Holdings Ltd,5081414326,RTH,Internet Media & Services,
Khanh Hoa Power Centrifugal Concrete JSC,5001438206,KCE,Construction Materials,
Vantage Drilling Co,5000806256,VTGDF,Oil & Gas - Services,
Chic Republic PCL,5059963626,CHIC,Multiline and Specialty Retailers & Distributors,
United Parcel Service Inc,4295912318,UPS,Air Freight & Logistics,
7Levels SA,5057950176,7LV,Software & IT Services,
Hoth Therapeutics Inc,5056408046,HOTH,Biotechnology & Pharmaceuticals,
Vinayak Polycon International Ltd,5037819086,VPIL,Chemicals,
Frontline Securities Ltd,4296732526,FLSL,Asset Management & Custody Activities,
Enlivex Therapeutics Ltd,5040438566,ENLV,Biotechnology & Pharmaceuticals,
Daeduck Electronics Co Ltd,5074551186,353200,Hardware,
VIP Greenport JSC,5047746276,VGR,Professional & Commercial Services,
Mercantile Insurance Co Ltd,4296129856,MERCI,Insurance,
Shine Metals Ltd,4295857536,SHI,Fuel Cells & Industrial Batteries,
Latteys Industries Ltd,5062434116,LATTEYS,Industrial Machinery & Goods,
Fervent Synergies Ltd,5035156736,FPSL,Consumer Finance,
Development Investment Construction Number 1 JSC,5035756856,DC1,Home Builders,
BEW Engineering Ltd,5080166686,BEWLTD,Industrial Machinery & Goods,
Coeur Mining Inc,5039878043,CDE,Metals & Mining,
CarrefourSA Carrefour Sabanci Ticaret Merkezi AS,4295893733,CRFSA,Multiline and Specialty Retailers & Distributors,
Bundamedik Tbk PT,5079690883,BMHS,Health Care Delivery,
REV Group Inc,5001215612,REVG,Industrial Machinery & Goods,
All American Gold Corp,4297953303,AAGC,Metals & Mining,
Carmax Inc,4295903702,KMX,Multiline and Specialty Retailers & Distributors,
King Tire Indonesia Tbk PT,5082989033,TYRE,Auto Parts,
Infinium Pharmachem Ltd,5067507193,INFINIUM,Biotechnology & Pharmaceuticals,
Lichen China Ltd,5074841353,LICN,Professional & Commercial Services,
Nighthawk Gold Corp,4297703143,NHK,Metals & Mining,
Tactile Systems Technology Inc,4296600852,TCMD,Medical Equipment & Supplies,
Applied Materials Inc,4295905583,AMAT,Semiconductors,
Prudential Financial Inc,4295901925,PRU,Insurance,
Innoviva Inc,4295900115,INVA,Biotechnology & Pharmaceuticals,
Cisco Systems Inc,5080018615,CSCO,Hardware,
Myers Industries Inc,4295904566,MYE,Containers & Packaging,
Aptargroup Inc,4295903469,ATR,Containers & Packaging,
Cebu Landmasters Inc,5037615153,CLI,Engineering & Construction Services,
360 Capital Group Ltd,4295858873,TGP,Real Estate,
Deyaar Development PJSC,4295893483,DEYAAR,Real Estate,
AG Mortgage Investment Trust Inc,5028043693,MITT,Mortgage Finance,
CNGR Advanced Material Co Ltd,5074236423,300919,Chemicals,
Sanoyas Holdings Corp,5035303203,7022,Industrial Machinery & Goods,
New Western Group Ltd,5037132383,8242,Semiconductors,
Tri-County Financial Group Inc,4297043483,TYFG,Commercial Banks,
Jat Holdings PLC,5081085073,JAT,Chemicals,
Granite Ridge Resources Inc,5082536603,GRNT,Oil & Gas - Exploration & Production,
Erste & Steiermaerkische Bank dd,4296413313,OBPG,Commercial Banks,
EDGE Technology Inc,5082096683,4268,Software & IT Services,
Global Sukses Solusi Tbk PT,5081324743,RUNS,Software & IT Services,
Douglas Dynamics Inc,5000636622,PLOW,Auto Parts,
Openedges Technology Inc,5073637913,394280,Electrical & Electronic Equipment,
mybet Holding SE,5064596043,XMY,Casinos & Gaming,
Largo SA,5059973783,ALLGO,Multiline and Specialty Retailers & Distributors,
China Longyi Group International Holdings Ltd,4295956073,CGYG,Asset Management & Custody Activities,
East Energy Resources Ltd,4295858533,EER,Coal Operations,
Strategic Energy Resources Ltd,4295857713,SER,Oil & Gas - Exploration & Production,
Neuromeka Co Ltd,5070765423,348340,Industrial Machinery & Goods,
Patdiam Jewellery Ltd,5044526553,PAJE,Apparel, Accessories & Footwear,
Elaia Investment Spain Socimi SA,5052143553,YEIS,Real Estate,
Samata Leather Complex Ltd,4295924013,SAMATA,Apparel, Accessories & Footwear,
European Wax Center Inc,5004392973,EWCZ,Professional & Commercial Services,
African Development Bank,8589934163,1598Z TU,Commercial Banks,
Przedsiebiorstwo Produkcyjno Handlowe Wadex SA,4298066553,WAX,Iron & Steel Producers,
Host Hotels & Resorts LP,4298009293,HST,Real Estate,
Escorts Investment Bank Ltd,4295917083,ESBL,Investment Banking & Brokerage,
Valjaonica Bakra Sevojno ad Sevojno,4297725943,VBSE,Metals & Mining,
Microba Life Sciences Ltd,5069473673,MAP,Biotechnology & Pharmaceuticals,
Ncs Testing Technology Co Ltd,5037437133,300797,Electrical & Electronic Equipment,
Willow Biosciences Inc,4295918593,WLLW,Metals & Mining,
Fuji Techno Solutions Co Inc,5000061883,2336,Software & IT Services,
root9B Holdings Inc,4295902393,RTNB,Software & IT Services,
Alternus Energy Group PLC,5079200903,ALT,Solar Technology & Project Developers,
Rudnik Uglja ad Pljevlja,5000668843,RUPV,Coal Operations,
Vistareit Inc,5081162003,VREIT,Real Estate,
Aztek Teknoloji Urunleri Ticaret AS,5039655753,AZTEK,Multiline and Specialty Retailers & Distributors,
TFF Pharmaceuticals Inc,5063174863,TFFP,Biotechnology & Pharmaceuticals,
Dragon Mountain Gold Ltd,4295858913,DMG,Metals & Mining,
Blackstar Enterprise Group Inc,5000650553,BEGI,Education,
US Student Housing REIT,5081874283,USQ,Real Estate,
Nuway Organic Naturals India Ltd,5000036943,NWO,Household & Personal Products,
Saigon Traffic Construction JSC,5052143353,GTS,Engineering & Construction Services,
Berkshire Hills Bancorp Inc,4295901001,BHLB,Commercial Banks,
Running Fox Resource Corp,4295919343,RUN,Oil & Gas - Exploration & Production,
Can-Cal Resources Ltd,4295902063,CCRE,Metals & Mining,
Fullsun International Holdings Group Co Ltd,4295871183,627,Apparel, Accessories & Footwear,
Hyduke Energy Services Inc,4295860643,HYD,Oil & Gas - Services,
Ram Minerals and Chemicals Ltd,5036380123,RMCH,Industrial Machinery & Goods,
Fortis Microfinance Bank PLC,5037627253,FORTISMF,Commercial Banks,
Mitrosrem ad Sremska Mitrovica,5000062273,MITR,Agricultural Products,
Bevcanna Enterprises Inc,5064666553,BEV,Biotechnology & Pharmaceuticals,
Pivotal Investment Corp III,5079687243,PICC/U,Asset Management & Custody Activities,
UBI Blockchain Internet Ltd,5052537213,UBIA,Software & IT Services,
VP Petrochemical Transport JSC,5035431423,VPA,Marine Transportation,
Eugene Special Purpose Acquisition 4 Co Ltd,5068349433,321260,Asset Management & Custody Activities,
Saidong Urban Development & Investment JSC,5035252603,SDI,Real Estate Services,
Hoteli Makarska dd,4296426543,HMAMRA,Hotels & Lodging,
ER Urgent Care Holdings Inc,4298042023,ERUC,Health Care Delivery,
QMed Inc,4295914653,QMED,Managed Care,
IGC Industries Ltd,5047871563,IGCI,Apparel, Accessories & Footwear,
JD Orgochem Ltd,4295917185,JDO,Chemicals,
Yangtze Optical Electronic Co Ltd,5082054155,688143,Semiconductors,
Totally Green Inc,4296238885,TLGN,Non-Alcoholic Beverages,
Slanchev Bryag Holding AD,4297069965,6SV,Asset Management & Custody Activities,
Max India Ltd,5051395345,MAXI,Health Care Delivery,
Kothari World Finance Ltd,4297673765,KWFL,Asset Management & Custody Activities,
Nicolet Bankshares Inc,4296938763,NCBS,Commercial Banks,
Inergy Technology Inc,5000073655,6693,Semiconductors,
Marbella Country Club SA,4295863455,MARBEL,Leisure Facilities,
Energoinvest dd Sarajevo,4296582715,ENISR,Engineering & Construction Services,
Axcelis Technologies Inc,4295915725,ACLS,Semiconductors,
DXP Enterprises Inc,4295906126,DXPE,Industrial Machinery & Goods,
PPG Industries Inc,4295904686,PPG,Chemicals,
Avalonbay Communities Inc,4295903478,AVB,Real Estate,
Pacific Premier Bancorp Inc,4295906999,PPBI,Commercial Banks,
ANI Pharmaceuticals Inc,4295902157,ANIP,Biotechnology & Pharmaceuticals,
Standard Motor Products Inc,4295904970,SMP,Auto Parts,
TECO Image Systems Co Ltd,4295892395,5438,Hardware,
SPI Energy Co Ltd,5045945605,SPI,Solar Technology & Project Developers,
Badger Meter Inc,4295903516,BMI,Electrical & Electronic Equipment,
Tesco Corp,4295860975,6268,Industrial Machinery & Goods,
Art Emperor Technology & Culture Co Ltd,5057816515,6650,Internet Media & Services,
Wondershare Technology Group Co Ltd,5043467035,300624,Software & IT Services,
Eden Innovations Ltd,4295857095,EDE,Electric Utilities & Power Generators,
Shentong Robot Education Group Co Ltd,4295871945,8206,Education,
Petards Group PLC,4295895665,PEG,Electrical & Electronic Equipment,
Tavistock Investments PLC,4295894565,TAVI,Asset Management & Custody Activities,
Trendline Information and Communication Services Ltd,4295926165,TREN,Internet Media & Services,
Aims Property Securities Fund,4295856295,APW,Real Estate,
Hefei Chipmore Technology Co Ltd,5068322155,688352,Semiconductors,
Carefree Group Inc,4296986215,CRFU,Professional & Commercial Services,
GSL Nova Petrochemicals Ltd,4295873155,GSLN,Apparel, Accessories & Footwear,
Lipella Pharmaceuticals Inc,5019151345,LIPO,Biotechnology & Pharmaceuticals,
Eagle Bancorp Inc,4295913221,EGBN,Commercial Banks,
General Technologies AG,4295870105,W8Z,Investment Banking & Brokerage,
JDV Control Valves Co Ltd,5081381535,6843,Industrial Machinery & Goods,
Lepu Scientech Medical Technology Shanghai Co Ltd,5080197865,2291,Medical Equipment & Supplies,
Great Basin Scientific Inc,5006476155,GBSNQ,Biotechnology & Pharmaceuticals,
Fengzhushou Co Ltd,5042227275,301382,Software & IT Services,
Melker Schorling AB,4295890375,0H2O,Asset Management & Custody Activities,
Knight Club Capital Asset Management PCL,5081466725,KCC,Asset Management & Custody Activities,
Forbes Ventures PLC,4295863265,FOR,Metals & Mining,
G R Infraprojects Ltd,5029074085,GRINFRA,Engineering & Construction Services,
Harmonicare Medical Holdings Ltd,5045810435,1509,Health Care Delivery,
Amrapali Capital and Finance Services Ltd,5036207665,ACFS,Investment Banking & Brokerage,
Skylight Health Group Inc,5066628845,SLHG,Health Care Delivery,
Chesterfield Resources PLC,5057766055,CHF,Asset Management & Custody Activities,
Arizon RFID Technology Cayman Co Ltd,5083844905,6863,Hardware,
Elbit Medical Technologies Ltd,4295926015,EMTC,Medical Equipment & Supplies,
PDF Solutions Inc,4295902634,PDFS,Software & IT Services,
Bellrock Brands Inc,5078528315,BRCK/U,Biotechnology & Pharmaceuticals,
Collegium Pharmaceutical Inc,5045917401,COLL,Biotechnology & Pharmaceuticals,
Medigen Vaccine Biologics Corp,5044030765,6547,Biotechnology & Pharmaceuticals,
Mueller Water Products Inc,4297289506,MWA,Industrial Machinery & Goods,
Lifequest World Corp,4298009335,LQWC,Biotechnology & Pharmaceuticals,
GVIC Communications Corp,4295860715,GCT,Professional & Commercial Services,
Corpfin Capital Prime Retail II Socimi SA,5046708955,YPR2,Real Estate,
MTT Group Holdings Ltd,5078557475,2350,Software & IT Services,
Zyber Holdings Ltd,5000461185,ZYB,Software & IT Services,
Cahaya Bintang Medan Tbk PT,5073953565,CBMF,Building Products & Furnishings,
